rh_id,n_ref,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure
RH_fiche_1_,Ref_0001,Actualisé (S.),11,=11=,Alzonne,,FEP Médiathèque,Carcasonne Agglo,11170,Parc municipal,,Parc municipal 11170 Alzonne,,,,Médiathèque,,04 68 76 33 02
RH_fiche_2_,Ref_0002,,11,=11=,Berriac,,Le Relai,,11000,,,11000 Berriac,,,Association,,,
RH_fiche_3_,Ref_0003,,11,=11=,Bouisse,,Maison de services au public POM's de Bouisse,,11330,11 Avenue Las Nautas Corbieras,,11 Avenue Las Nautas Corbieras 11330 Bouisse,,,,MSAP,,04 68 48 88 73
RH_fiche_4_,Ref_0004,Actualisé (S.),11,=11=,Boutenac,,Mediatheque Milcom de Boutenac,,11200,8 Boulevard de Ronde,,8 Boulevard de Ronde 11200 Boutenac,,,collectivité territoriale,Médiathèque,,04 68 45 79 61
RH_fiche_5_,Ref_0005,,11,=11=,Bram,,France Services - Piège Lauragais Malepere,Communauté De Commune PIEGE LAURAGAIS MALEPERE,11150,62 rue bonrepos,,62 rue bonrepos 11150 Bram,,,collectivité territoriale,,,
RH_fiche_6_,Ref_0006,,11,=11=,Capendu,,France Services / MSAP - Carcassone Agglo,CARCASSONNE AGGLO,11700,2 rue des Figuères,,2 rue des Figuères 11700 Capendu,,,collectivité territoriale,,,
RH_fiche_7_,Ref_0007,Actualisé (S.),11,=11=,Carcasonne,,R'MINE - FABLAB CARACASSONNE AGGLO,CARCASSONNE AGGLO,11000,20 rue Claude CHAPPE,,20 rue Claude CHAPPE 11000 Carcasonne,,,collectivité territoriale,,,04.68.11.95.58
RH_fiche_8_,Ref_0008,Actualisé (S.),11,=11=,Carcassonne,,Régie de quartier,Le Comité National de liaison des Régies de quartier,11000,46 bis rue Alexandre Guiraud,,46 bis rue Alexandre Guiraud 11000 Carcassonne,,,Association,,,04 68 47 22 71 / 04 68 25 80 32
RH_fiche_9_,Ref_0009,,11,=11=,Carcassonne,,Espace Culturel Multimédia,,11000,,,11000 Carcassonne,,,collectivité territoriale,,,
RH_fiche_10_,Ref_0010,Actualisé (S.),11,=11=,Narbonne,,acti city - Information Jeunesse,,11100,13 BOULEVARD GAMBETTA,,13 BOULEVARD GAMBETTA 11100 Narbonne,,,Association,,,04 68 25 12 25
RH_fiche_11_,Ref_0011,,11,=11=,Carcassonne,,Logigames,,11000,25 boulevard de Varsovie,,25 boulevard de Varsovie 11000 Carcassonne,,,Entreprise,,,04 68 72 67 04
RH_fiche_12_,Ref_0012,,11,=11=,Caves,,ATRIUM,,11510,,,11510 Caves,,,,,,
RH_fiche_13_,Ref_0013,,11,=11=,Davejean,,Maison de services au public POM'S de Davejean,,11330,rue de la poste,,rue de la poste 11330 Davejean,,,,MSAP,,04 68 70 09 47
RH_fiche_14_,Ref_0014,,11,=11=,Fabrezan,,Mediatheque Milcom de Fabrezan,,11200,1 Avenue de la Mairie,,1 Avenue de la Mairie 11200 Fabrezan,,,collectivité territoriale,Médiathèque,,04 68 43 71 92
RH_fiche_15_,Ref_0015,,11,=11=,Lezignan,,Isis (epicerie solidaire),,11200,39 rue Lamartine,,39 rue Lamartine 11200 Lezignan,,,Association,,,
