rh_id,n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet
RH_fiche_1_,,,11,Alzonne,,FEP Médiathèque,,11170,,,,,,,,,fep.alzonne@wanadoo.fr,
RH_fiche_2_,,,65,Ancizan,,Centre culturel d'Ancizan,,65440,,,4336867,1 445 539,,,,,centreculturel-ancizan@wanadoo.fr,
RH_fiche_3_,,,65,Ancizan,,Centre Culturel,,65440,10 rue de l'Arbizon,,,,,,,05 62 39 92 29,commune.ancizan@orange.fr,
RH_fiche_4_,,,31,Arbas,,Bibliothèque municipale,,31160,,,,,,,,,,
RH_fiche_5_,,,65,Argeles Gazost,,SARAPP,,65400,,,4306833,151 224,,,,,65sararg@ac-toulouse.fr,
RH_fiche_6_,,,65,Argeles Gazost,,Restos du Cœur,,65400,2 rue de l'Arrieulat,,,,Association,,,,,
RH_fiche_7_,,,65,Argeles Gazost,,Maison Départementale de Solidarité,,65400,1 chemin de l'herbe,,,,,,,05 31 74 37 10,,
RH_fiche_8_,,,65,Argeles Gazost,,Médiathèque Municipale,,65400,1 rue Jean Bourdette,,,,,,,05 62 97 10 59,bibliotheque@mairie-argeles-gazost.com,
RH_fiche_9_,,,65,Arreau,,Arreau,La Poste,65240,4 rue Saint-Exupéry,,,,,,La Poste,,,
RH_fiche_10_,,,65,Arreau,,MSAP/Bureau de Poste,,65240,4 rue St Exupère,,,,,,,05 62 40 70 54,,
RH_fiche_11_,,,65,Arreau,,Restos du Cœur,,65240,17 grande rue,,,,Association,,,,,
RH_fiche_12_,,,65,Arreau,,médiathèque,,65240,Chateaux des Nestes,,,,,,,05 62 98 66 94,,
RH_fiche_13_,,,65,Aspin en Lavedan,,médiathèque de Batsurguère,,65100,3 rue de la Ribère,,,,,,,05 62 94 79 36 / 06 43 15 36 22,asso-escb@orange.fr,
RH_fiche_14_,,,32,Auch,,Coopérative réemploi,,32000,,,,,,,,,,
RH_fiche_15_,,,32,Auch,,Garros Services,,32000,,,,,,,,,auch@cnlrq.org,
RH_fiche_16_,,,32,Auch,,Promeneurs du net,,32000,,,,,,,,,,
RH_fiche_17_,,,32,Auch,,INNOPARC - TIERS LIEUX - MON ESPACE SOHO SOLO,,32000,Place Jean David,,,,PRV. ASSOCIATION,GERS DEVELOPPEMENT - SOHO SOLO,,06 33 88 58 76,f.bedoussac@gersdeveloppement.fr,
RH_fiche_18_,,,32,Auch,,INNOPARC - FABLAB AUCH GERS,,32000,6 Rue Roland Salengro,,,,PRV. ASSOCIATION,GERS DEVELOPPEMENT,,,a.fievet@gersdeveloppement.fr,
RH_fiche_19_,,,32,Auch,,AG2i,,32000,12 quai des marronniers,,,,,,,,,
RH_fiche_20_,,,65,Aureilhan,,bibliothèque Jules Laforgue,,65800,24  avenue Jean Jaurès,,,,,,,05 62 38 91 65,,
RH_fiche_21_,,,31,Auterive,,Le foyer Auterive,,31190,1  place du Maréchal Leclerc,,,,,Centre social,FIGO Centre social,,,centresocialauterive.fr
RH_fiche_22_,,,31,Auterive,,Communauté de commune bas armagnac,,31190,,,,,Collectivités,,Collectivités,05 61 50 99 00,info@cc-basarmagnac.fr,
RH_fiche_23_,,,31,Auterive,,Médiathèque municipale,,31190,780 Route d'Espagne,,,,,,,05 82 95 45 75,direction.mediatheque@auterive-ville.fr mediatheque@auterive-ville.fr,
RH_fiche_24_,,,31,Auterive,,Communauté de communes de bassin auterivain,,31190,ZI Robert Lavigne  RD 820,,4324158,2 118 852,Collectivités,,Collectivités,05 61 50 99 00,,http://annuaire.auterive31.fr/front/index.php?membre=1687
RH_fiche_25_,,,31,Auterive,,Maison France Service Auterive - CC Bassin Auterivain,Communauté de communes,31190,Rd 820 ZI Robert Lavigne,,,,,,Collectivité,,guichetunique@ccba31.fr,
RH_fiche_26_,,,31,Auterive,,TL ESPACE FIRMIN PONS,,31190,780  route d'Espagne,,4318414,2 556 949,PUB. COMMUNE,COMMUNE AUTERIVE,,05.61.50.96.87,dgs@auterive-ville.fr,
RH_fiche_27_,,,65,Bagneres de Bigorre,,Espace Culturel Maintenon,,65200,,,,,,,,,centre.culturel@ville-bagneresdebigorre.fr,
RH_fiche_28_,,,65,Bagneres de Bigorre,,Haute Bigorre,CC de la Haute-Bigorre,65200,30 avenue Géruzet,,,,,,Collectivité,,,
RH_fiche_29_,,,65,Bagnères de Bigorre,,Restos du Cœur,,65200,4 rue Grasset,,,,Association,,,,,
RH_fiche_30_,,,65,Bagnères de Bigorre,,Médiathèque Intercommunale,,65200,4 rue alsace Lorraine,,,,,,,05 62 95 34 64,mediatheque@haute-bigorre.fr,
RH_fiche_31_,,,65,Bagnères de Bigorre,,Maison Départementale de la Solidarité,,65200,1 rue Castelmouly,,,,,,,05 31 74 36 20,,
RH_fiche_32_,,,65,Bagnères de Bigorre,,MSAP,,65200,30 avenue de Géruzet,,,,,,,05 62 90 42 02,msap@haute-bigorre.fr,
RH_fiche_33_,,,31,Bagnères de Luchon,,31 SARLUC,,31110,,,,,,,,,31sarluc@ac-toulouse.fr,
RH_fiche_34_,,,31,Bagnères de Luchon,,MJC,,31110,,,,,,,,,luchon@mjc-midi-pyrenees.com,
RH_fiche_35_,,,31,Balma,,Foyer Expérimental Pierre Ribet,,31130,,,,,,,,,,
RH_fiche_36_,,,32,Barran,,Val de Gers - Antenne de Barran,Communauté de Communes Val de Gers,32350,45 rue du Docteurue G. Demandès,Mairie de Barran,,,,,Collectivité,,mairiedebarran@wanadoo.fr,
RH_fiche_37_,,,31,Belberaud,,Le 100eme singe,,31450,8 route de Fourquevaux,,,,Association,,Association,06 17 13 65 98,lecentiemesinge@gmail.com,le100esinge.com
RH_fiche_38_,,,32,Berrac,,Gerskali / Gers numérique,,32480,,,,,,,Entreprise,,,https://www.gers-numerique.com/
RH_fiche_39_,,,11,Berriac,,Le Relai,,11000,,,,,,,Association,,,
RH_fiche_40_,,,31,Bessieres,,Val Aïgo - Antenne de Bessières,Communauté de communes Val'Aïgo,31660,26 Place du souvenir,,,,,,Collectivité,,cias2@valaigo.fr,
RH_fiche_41_,,,31,Blagnac,,Mairie de Blagnac,,31700,,,,,,,Mairie,,,
RH_fiche_42_,,,31,Blagnac,,centre social blagnac,,,,,,,,,FIGO Centre social,,,
RH_fiche_43_,,,31,Blagnac,,FAB MJC DES ARTS BLAGNAC,,31700,,,,,PRV. ASSOCIATION,MAISON DES JEUNES ET DE LA CULTURE DES ARTS DE BLAGNAC,,05 34 26 52 76 - 067 84 27 84 81,direction@mjc-arts-blagnac.com,
RH_fiche_44_,,,65,Bordères sur Echez,,bibliothèque Claude Nogaro,,65320,place J Jaurès,,,,,,,05 62 38 33 73,,
RH_fiche_45_,,,11,Bouisse,,Maison de services au public POM's de Bouisse,,,,,,,,,MSAP,,poms.bouisse@orange.fr,
RH_fiche_46_,,,11,Boutenac,,Mediatheque Milcom de Boutenac,,,,,,,,,Collectivités,,,
RH_fiche_47_,,,11,Bram,,Piège Lauragais Malepere,CDC PIEGE LAURAGAIS MALEPERE,11150,62 rue bonrepos,,,,,,Collectivité,,msap@ccplm.fr,
RH_fiche_48_,,,65,Campan,,Espace Public Informatique du canton de Campan,,65710,,,,,,,,,epicampan@gmail.com,
RH_fiche_49_,,,11,Capendu,,Carcassone Agglo,CARCASSONNE AGGLO,11700,2 rue des Figuères,,,,,,Collectivité,,msap@carcassonne-agglo.fr,
RH_fiche_50_,,,11,Carcasonne,,R'MINE - FABLAB CARACASSONNE AGGLO,,11000,20 rue Claude CHAPPE,,,,PUB. EPCI,C.A. CARCASSONNE,,04.68.11.95.58,Denis.PETITCOLIN@carcassonne-agglo.fr,
RH_fiche_51_,,,11,Carcassonne,,Régie de quartier,,11000,,,,,,,Association,,carcassonne-rdq@cnlrq.org,
RH_fiche_52_,,,11,Carcassonne,,Espace Culturel Multimédia,,11000,,,,,,,Mairie,,,
RH_fiche_53_,,,11,Carcassonne,,acti city - Information Jeunesse,,11000,,,,,,,,,information.jeunesse@acticity.com,
RH_fiche_54_,,,11,Carcassonne,,Logigames,,11000,25 boulevard de Varsovie,,,,,,Entreprise,04 68 72 67 04,logigames2001@yahoo.fr,logigames.fr
RH_fiche_55_,,,11,Carcassonne,,EPCI,,,,,4385028,661 762,,,,,,
RH_fiche_56_,,,65,Castelnau Magnoac,,EPI de Castelnau Magnoac,,65230,,,,,,,,,epi.castelnau.magnoac@wanadoo.fr,
RH_fiche_57_,,,65,Castelnau Magnoac,,Médiathèque,,65230,21 place de l'Estelette,,,,,,,05 62 99 80 62,biblio-castelnau@orange.fr,
RH_fiche_58_,,,32,Caupenne d'armagnac,,SYMA DU NOUGAROPOLE,,32110,Route de Caupenne d’armagnac,,,,PUB. SYNDICAT MIXTE,SYMA,,06.72.24.16.70,florence.fos@nogaropole.fr,
RH_fiche_59_,,,65,Cauterets,,Info Cyber jeunes - Association SOLEIL. PIJ,,65110,,,,,,,,,planeteicj@pyrenees.net,
RH_fiche_60_,,,65,Cauterets,,Médiathèque Municipale,,65110,2 Esplanade des œufs,,,,,,,05 62 92 59 96,bibliocauterets@wanadoo.fr,
RH_fiche_61_,,,11,Caves,,ATRIUM,,11510,,,,,,,,,atriumcaves@gmail.com,
RH_fiche_62_,,,31,Cazères,,Maison Pour tous,,31220,6 rue des Capucins,,,,,,FIGO Centre social,,,www.mptcazeres.fr
RH_fiche_63_,,,31,Cintegabelle,,Foyer rural « La Gabela »,,31550,mairie,,,,,,Foyers ruraux,,,
RH_fiche_64_,,,31,Clarac,,foyer rural Clarac,,31210,Chemin de Sainte Anne,,,,,,Association,05 61 89 70 64,foyer-rural-clarac@orange.fr,http://www.foyerruralclarac.org/accueil.html
RH_fiche_65_,,,32,Cologne,,Association Arcolan,,32430,,,,,Association,,FIGO Centre social,,,
RH_fiche_66_,,,32,Cologne,,MSAP Cologne,,32430,Route d'Ardizas,,,,,,MSAP,05 62 05 13 61,msap@ccbl32.fr,https://www.maisondeservicesaupublic.frcontent/bastides-de-lomagne
RH_fiche_67_,,,32,Cologne,,LE SITE,,32430,Route de Sarrant,,,,PRV. SAS,LE SITE,,06 08 51 33 42,philippe.jaubert32@gmail.com,
RH_fiche_68_,,,31,Colomiers,,Mairie,,31770,,,,,,,Mairie,,,
RH_fiche_69_,,,31,Colomiers,,CCAS,,31776,,,,,,,Mairie,,,
RH_fiche_70_,,,31,Colomiers,,LA MIJOTEUSE,,31770,Place Joseph Verseille,,,,PUB. COMMUNE,COMMUNE DE COLOMIERS,,06.38.50.65.31.,christine.gouaux@mairie-colomiers.fr,
RH_fiche_71_,,,31,Colomiers,,Point Rencontres Chomeurs Precaires (PRCP),,31770,2 Allée du Vignemale,,,,,,,,,
RH_fiche_72_,,,32,Condom,,Centre Social de la Ténarèze,,32100,28 rue Gambetta,,,,,,FIGO Centre social,,,
RH_fiche_73_,,,11,Davejean,,Maison de services au public POM'S de Davejean,,,,,,,,,MSAP,,poms.davejean@orange.fr,
RH_fiche_74_,,,11,Fabrezan,,Mediatheque Milcom de Fabrezan,,,,,,,,,Collectivités,04 68 43 71 92,,
RH_fiche_75_,,,31,Fenouillet,,Association Femmes du Monde,,31150,,,,,Association,,FIGO Centre social,,,
RH_fiche_76_,,,32,Fleurance,,Bibliothèque municipale,,32500,100 rue Pasteur,,,,,,Collectivités,05 62 06 18 96,,
RH_fiche_77_,,,32,Fleurance,,Mairie,,32500,,,,,,,Mairie,05 62 06 10 01,,https://www.villefleurance.fr/
RH_fiche_78_,,,32,Fleurance,,Fleurance,Commune de Fleurance,32500,62 Rue Adolphe Cadéot,,,,,,Collectivité,,ccas.compta@villefleurance.fr,
RH_fiche_79_,,,32,Fleurance,,FABLAB C.C LOMAGNE GERSOISE - LIR,,32500,8 Avenue Pierre de Coubertin,,4393352,626 401,PUB. EPCI,C.C LOMAGNE GERSOISE,,,pole21@lomagne-gersoise.com,
RH_fiche_80_,,,65,Galan,,Galan,,65330,1 Place de la Bastide,,,,,,,,,
RH_fiche_81_,,,65,Ibos,,bibliothèque Daniel Pennac,,65420,place Verdun,,,,,,,05 62 90 61 00,,
RH_fiche_82_,,,65,Jezeau,,FABLAB LA SOULANE,,65240,,,,,PRV. ASSOCIATION,ASSOCIATION LA SOULANE,,06 21 98 56 71,soulane.asso@gmail.com,
RH_fiche_83_,,,31,La Salvetat Saint Gilles,,centre social F Chopin,,31880,,,,,,,FIGO Centre social,,,
RH_fiche_84_,,,31,Labège,,ASSOCIATION IOT VALLEY,,31670,425 rue Jean Rostand,,,,PRV. ASSOCIATION,ASSOCIATION IOT VALLEY,,,bertran@iot-valley.fr,
RH_fiche_85_,,,31,Labège,,Centre social Escalquens / CCAS,,,Mairie d'Escalquens Place François Mitterrand,,,,,,FIGO Centre social,05 62 71 56 75,centre.social@escalquens.fr,www.escalquens.fr
RH_fiche_86_,,,31,Lagardelle-sur-Lèze,,EVOLFABLAB,,31870,289 route de la fontannasse,,4305739,2 213 259,PRV. ASSOCIATION,ASSOCIATION INFO@LEZE,,06 20 22 11 48,infoaleze@gmail.com,
RH_fiche_87_,,,31,Lagardelle-sur-Lèze,,Mairie,,31870,,,,,,,,,,
RH_fiche_88_,,,31,Lagardelle-sur-Lèze,,Médiathèque municipale,,31870,3 Château de Vignaou,,,,,,,,bm.lagardelle@wanadoo.fr,
RH_fiche_89_,,,32,Lamothe Goas,,Mairie,,32500,,,,,,,Mairie,,,http://www.lamothe-goas.com/
RH_fiche_90_,,,65,Lannemezan,,SARAPP,,65300,,,,,,,,,,
RH_fiche_91_,,,65,Lannemezan,,Espace Public Informatique,,65300,Galérie Paul bert,,,,,,,05 62 99 18 54,,
RH_fiche_92_,,,65,Lannemezan,,Maison Départementale de la solidarité,,65300,325 rue Thiers,,,,,,,05 31 74 35 10,,
RH_fiche_93_,,,65,Lannemezan,,Restos du Cœur,,65300,272 rue Voltaire,,,,Association,,,,,
RH_fiche_94_,,,31,Le Fauga,,Desir informatique faugatien,,31410,,,,,,,Association,,,
RH_fiche_95_,,,31,Le Fauga,,mairie La Fauga,,31410,,,,,,,Mairie,,mairie@lefauga.fr,
RH_fiche_96_,,,32,Lectoure,,MSAP,,32700,2 cours Gambetta,,,,,,MSAP,05 62 68 75 47,ccas.accueil@mairie-lectoure.fr,https://www.maisondeservicesaupublic.fr/content/lectoure
RH_fiche_97_,,,32,Lectoure,,Télécentre de Lectoure,,32700,,,,,,,,,priviere@mairie-lectoure.fr,
RH_fiche_98_,,,32,Lectoure,,Régie rurale de services de Lomagne,,32700,,,,,,,Association,,regie.lectoure@cnlrq.org,
RH_fiche_99_,,,32,Lectoure,,Bibliothèque médiathèque municipale,,32700,rue Saint Gervais,,,,,,Collectivités,05 62 68 48 32,,
RH_fiche_100_,,,32,Lectoure,,Génération Mouvement,,32700,,,,,,,Association,05 62 68 71 77,,
RH_fiche_101_,,,32,Lectoure,,Mairie,,32700,,,,,,,Mairie,05 62 68 70 22,,https://www.lectoure.fr/fr-contact.html
RH_fiche_102_,,,32,Lectoure,,Lectoure,Commune de Lectoure,32700,2 Cours Gambetta,,,,,,Collectivité,,ccas.direction@mairie-lectoure.fr,
RH_fiche_103_,,,32,Lectoure,,PEPINIERES D ENTREPRISES DE LOMAGNE,,32700,ZI La Couture,,,,PUB. EPCI,CC LOMAGNE GERSOISE,,05.62.29.52.42 - 06.46.71.43.17,economie@lomagne-gersoise.com,
RH_fiche_104_,,,31,Lespinasse,,PCWORKS31,,31150,2 Allée Pierre-paul Riquet,,4342778,578 462,,,,,,
RH_fiche_105_,,,11,Lezignan,,Isis (epicerie solidaire),,11200,39 rue Lamartine,,,,,,Association,,,
RH_fiche_106_,,,11,Lezignan Corbières,,MJC Lezignan Corbières,,11200,25 Rue Marat,,4346935,34 708,,,Association,04 68 27 03 34,mjc.lezignan.corbieres@wanadoo.fr,www.mjc-lezignan-corbieres.com
RH_fiche_107_,,,31,Lherm,,C N S Communications,,31600,9 Rue de la Foret,,,,,,,,,
