rh_id,n_ref,statut_infos,departement,ville,nom,structure_porteuse,code_postal,adresse,adresse_suite,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,wifi,precisions,lat,lon,code_public,code_mediations,code_thematique,code_departement
RH_fiche_1_,,,81,ALBI,ALBILAB,,81000,8 avenue Pierre-Gilles de Gennes,,,                  ,PRV. ASSOCIATION,ASSOCIATION ACNE,,,asso.acne@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.920541,2.179896,,,,=81=
RH_fiche_2_,,,81,ALBI,ETINCELLE COWORKING ALBI,,81000,20 Place Edmond Canet,,4336867,1445539,PRV. SARL,SARL ETINCELLE ALBI,,05 64 88 01 30 - 06 25 02 44 11,sebastien@etincelle-coworking.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.923253,2.144096,,,,=81=
RH_fiche_3_,,,81,ALBI,INNOV'ACTION,,81000,Chemin de la Teulière,,,,PUB. ETABLISSEMENT PUBLIC,IMT MINES ALBI,,05 63 49 30 20,philippe.farenc@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.923786,2.182769,,,,=81=
RH_fiche_4_,,,11,Alzonne,FEP Médiathèque,,11170,,,,,,,,,fep.alzonne@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.264943,2.165457,,,,=11=
RH_fiche_5_,,,65,Ancizan,Centre culturel d'Ancizan,,65440,,,4306833,0 151224,,,,,centreculturel-ancizan@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,42.87272,0.340624,,,,=65=
RH_fiche_6_,,,31,Arbas ,Bibliothèque municipale,,31160,,,,,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,42.994112,0.908313,,,,=31=
RH_fiche_7_,,,65,Argeles Gazost,SARAPP,,65400,,,,,,,,,65sararg@ac-toulouse.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.005364,-0.09429,,,,=65=
RH_fiche_8_,,,65,ARREAU,Arreau,La Poste,65240,4 rue Saint-Exupéry,,,,,,La Poste,,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,42.906182,0.358829,,,,=65=
RH_fiche_9_,,,12,ARVIEU,LE JARDIN D'ARVIEU,,12120,Place de l'église,,,,PRV. SCOP,SCOP LAETIS,,05 65 46 06 64,sophie.terris@laetis.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.190221,2.661158,,,,=12=
RH_fiche_10_,,,12,ARVIEU,LE CANTOU Pole numérique et culturel Pareloup Levezou,,12120,Avenue de Pareloup,,,,PUB. COMMUNE,COMMUNE D ARVIEU,,05.65.46.71.06,cantou.arvieu@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.203111,2.717594,,,,=12=
RH_fiche_11_,,,32,Auch,Coopérative réemploi ,,32000,,,,,,,,,,,,,,,,,,Decembre 2019,,,COMP,,,,,,,,,,,,,,,,,,,,,,,43.661702,0.566383,,COMP,,=32=
