rh_id,n_ref,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,horaires_semaine,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,bloc_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,bloc_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,bloc_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,bloc_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,bloc_mediation_5,bloc_mediations,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,code_departement
RH_fiche_1_,Ref_0001,Actualisé (S.),11,=11=,Alzonne,,FEP Médiathèque,Carcasonne Agglo,11170,Parc municipal,,Parc municipal 11170 Alzonne,,,,Médiathèque,,04 68 76 33 02,fep.alzonne@wanadoo.fr,https://mediatheque.carcassonne-agglo.fr/fr/index.html,Fermé,14h-18h,10h-12h30 / 14h-18h,Fermé,14h-18h,10h-13h,Fermé,<p><br><ul><li>lundi : Fermé</li><li>mardi : 14h-18h</li><li>mercredi : 10h-12h30 / 14h-18h</li><li>jeudi : Fermé</li><li>vendredi : 14h-18h</li><li>samedi : 10h-13h</li><li>dimanche : Fermé</li></ul></p>,Decembre 2018,,,ORD,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.254495,2.175926,ORD,,,=11=
RH_fiche_2_,Ref_0002,,11,=11=,Berriac,,Le Relai,,11000,,,11000 Berriac,,,Association,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213227,2.401777,,,,=11=
RH_fiche_3_,Ref_0003,,11,=11=,Bouisse,,Maison de services au public POM's de Bouisse,,11330,11 Avenue Las Nautas Corbieras,,11 Avenue Las Nautas Corbieras 11330 Bouisse,,,,MSAP,,04 68 48 88 73,poms.bouisse@orange.fr,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.986901,2.45379,,,,=11=
RH_fiche_4_,Ref_0004,Actualisé (S.),11,=11=,Boutenac,,Mediatheque Milcom de Boutenac,,11200,8 Boulevard de Ronde,,8 Boulevard de Ronde 11200 Boutenac,,,collectivité territoriale,Médiathèque,,04 68 45 79 61,contact@ccrlcm.fr,https://www.ccrlcm.fr/,,14h-18h,14h-18h,,14h-18h,,,<p><br><ul><li>mardi : 14h-18h</li><li>mercredi : 14h-18h</li><li>vendredi : 14h-18h</li></ul></p>,Octobre 2020,,,ORD,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.147672,2.788775,ORD,,,=11=
RH_fiche_5_,Ref_0005,,11,=11=,Bram,,Piège Lauragais Malepere,Communauté De Commune PIEGE LAURAGAIS MALEPERE,11150,62 rue bonrepos,,62 rue bonrepos 11150 Bram,,,collectivité territoriale,,,,msap@ccplm.fr,,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,<p><br><ul><li>lundi : 8:30 - 12:00 / 13:30 - 17:00</li><li>mardi : 8:30 - 12:00 / 13:30 - 17:00</li><li>mercredi : 8:30 - 12:00 / 13:30 - 17:00</li><li>jeudi : 8:30 - 12:00 / 13:30 - 17:00</li><li>vendredi : 8:30 - 12:00 / 13:30 - 17:00</li><li>samedi : -</li></ul></p>,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.241583,2.118852,,,,=11=
RH_fiche_6_,Ref_0006,,11,=11=,Capendu,,MSAP - Carcassone Agglo,CARCASSONNE AGGLO,11700,2 rue des Figuères,,2 rue des Figuères 11700 Capendu,,,collectivité territoriale,,,,msap@carcassonne-agglo.fr,,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,8:30 - 12:00,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,-,,<p><br><ul><li>lundi : 8:00 - 13:00 / 14:00 - 17:00</li><li>mardi : 8:00 - 13:00 / 14:00 - 17:00</li><li>mercredi : 8:30 - 12:00</li><li>jeudi : 8:00 - 13:00 / 14:00 - 17:00</li><li>vendredi : 8:00 - 13:00 / 14:00 - 17:00</li><li>samedi : -</li></ul></p>,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.184142,2.556949,,,,=11=
RH_fiche_7_,Ref_0007,Actualisé (S.),11,=11=,Carcasonne,,R'MINE - FABLAB CARACASSONNE AGGLO,CARCASSONNE AGGLO,11000,20 rue Claude CHAPPE,,20 rue Claude CHAPPE 11000 Carcasonne,,,collectivité territoriale,,,04.68.11.95.58,rmine@carcassonne-agglo.fr,https://fablab.rmine.fr/,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,Fermé,Fermé,<p><br><ul><li>lundi : 9h-17h</li><li>mardi : 9h-17h</li><li>mercredi : 9h-17h</li><li>jeudi : 9h-17h</li><li>vendredi : 9h-17h</li><li>samedi : Fermé</li><li>dimanche : Fermé</li></ul></p>,Octobre 2020,,,FL,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">FabLab</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">FabLab</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",TL,Tiers lieu,,,43.212161,2.324602,FL,,,=11=
RH_fiche_8_,Ref_0008,Actualisé (S.),11,=11=,Carcassonne,,Régie de quartier,Le Comité National de liaison des Régies de quartier,11000,46 bis rue Alexandre Guiraud,,46 bis rue Alexandre Guiraud 11000 Carcassonne,,,Association,,,04 68 47 22 71 / 04 68 25 80 32,secretariat@regiedesquartiers.com,https://www.regie-quartiers-carcassonne.fr/,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h - 12h / 13h30 - 17h,8h-12h,,,<p><br><ul><li>lundi : 8h - 12h / 13h30 - 17h</li><li>mardi : 8h - 12h / 13h30 - 17h</li><li>mercredi : 8h - 12h / 13h30 - 17h</li><li>jeudi : 8h - 12h / 13h30 - 17h</li><li>vendredi : 8h-12h</li></ul></p>,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213984,2.366358,,,,=11=
RH_fiche_9_,Ref_0009,,11,=11=,Carcassonne,,Espace Culturel Multimédia,,11000,,,11000 Carcassonne,,,collectivité territoriale,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_10_,Ref_0010,Actualisé (S.),11,=11=,Narbonne,,acti city - Information Jeunesse,,11100,13 BOULEVARD GAMBETTA,,13 BOULEVARD GAMBETTA 11100 Narbonne,,,Association,,,04 68 25 12 25,contact@acticity.com,https://acticity.com/nous-rencontrer/,,13h30-18h,13h30-18h,13h30-18h,13h30-18h,13h30-18h,,<p><br><ul><li>mardi : 13h30-18h</li><li>mercredi : 13h30-18h</li><li>jeudi : 13h30-18h</li><li>vendredi : 13h30-18h</li><li>samedi : 13h30-18h</li></ul></p>,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.182781,3.007413,,,,=11=
