rh_id,departement,ville,nom,num_ref_struct,code_postal,adresse,adresse_suite,geo_,geo_bis,type_structure,rattachement,telephone_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_actions,conditions_acces,type_mediation,public_si_different,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
RH_fiche_1_,31,Toulouse,Bibliotheque Grand M,,31000,37 avenue de la Reynerie,,,,Bibliothèque,Collectivités,05 81 91 79 40,,www.bibliotheque.toulouse.fr,,,,,,,,Decembre 2019,,,ORD,,43.567207,1.400819,37 Avenue de Reynerie 31100 Toulouse,0.82,housenumber,31555_7454_00037,37,Avenue de Reynerie,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_2_,31,Toulouse,Combustible numérique,,31000,,,,,Association,Association,,contact@combustible.fr,,,,,,,,,Decembre 2019,,,COMP,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_3_,31,Toulouse,Trajectoire vers l'emploi,,31000,,,,,Association,Association,,,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_4_,31,Toulouse,Lieu Ressource Formation,,31000,,,,,Association,Association,,,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_5_,31,Toulouse,7 notre quartier,,31000,,,,,Association,Association,,,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_6_,31,Toulouse,CSF – Section Mirail,,31000,14 cheminement le Tintoret,,,,Association,Association,,,www.csfmirailblf.wixsite.com/csfmirail,,,,,,,,Decembre 2019,,,,,43.561405,1.398273,14 Cheminement le Tintoret 31100 Toulouse,0.91,housenumber,31555_8435_00014,14,Cheminement le Tintoret,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_7_,31,Toulouse,ADPAM,,31000,,,,,Association,Association,,,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_8_,31,Toulouse,Mieux Vivre Ensemble à la Gloire,,31000,2 rue du général Baurot,,,,Association,Association,,,,,,,,,,,Decembre 2019,,,,,43.607658,1.470667,2 Rue du Général Baurot 31500 Toulouse,0.85,housenumber,31555_3809_00002,2,Rue du Général Baurot,,31500,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_9_,31,Toulouse,Mission Locale,,31000,,,,,Association,Association,,,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_10_,31,Toulouse, ASTREE,,31000,,,,,Association,Association,,,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_11_,31,Toulouse,La case de santé,,31000,17 place Arnaud Bernard,,,,Association,Association,05 61 23 62 35,contact@casedesante.org,http://casedesante.org/lacase_horaires.html,,,,,,,,Decembre 2019,,,,,43.610785,1.439371,17 Place Arnaud Bernard 31000 Toulouse,0.97,housenumber,31555_0520_00017,17,Place Arnaud Bernard,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_12_,31,Toulouse,AFEV,,31000,,,,,Association,Association,,pole.toulouse@afev.org ,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_13_,31,Toulouse,Café social,,31000,38 rue Roquelaine,,,,Association,Association,06 18 57 02 52,,,,,,,,,,Decembre 2019,,,,,43.6114,1.44663,38 Rue Roquelaine 31000 Toulouse,0.97,housenumber,31555_7604_00038,38,Rue Roquelaine,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_14_,31,Toulouse,Mairie de quartier de Serveyrolles – Soupetard,,31000,,,,,Mairie de quartier,Mairie,,,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_15_,31,Toulouse,Maison de la citoyenneté Centre,,31000,5 rue Paul Mériel,,,,Maison de la citoyenneté,Mairie,,,,,,,,,,,Decembre 2019,,,,,43.603967,1.448082,5 Rue Paul Mériel 31000 Toulouse,0.97,housenumber,31555_6632_00005,5,Rue Paul Mériel,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
